estado,municipio,bioma,ano,mês,dia
PARÁ,PACAJÁ,Amazônia,2019,10,27
PARÁ,ALTAMIRA,Amazônia,2019,10,27
AMAZONAS,NOVA OLINDA DO NORTE,Amazônia,2019,10,27
PARÁ,PORTO DE MOZ,Amazônia,2019,10,27
PARÁ,SENADOR JOSÉ PORFÍRIO,Amazônia,2019,10,27
MATO GROSSO,COLNIZA,Amazônia,2019,10,28
AMAZONAS,UARINI,Amazônia,2019,10,28
AMAZONAS,ALVARÃES,Amazônia,2019,10,28
MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2019,10,30
MATO GROSSO,CÁCERES,Pantanal,2019,10,30
MATO GROSSO DO SUL,NIOAQUE,Cerrado,2019,10,30
PARAÍBA,SÃO MAMEDE,Caatinga,2019,11,01
RIO GRANDE DO NORTE,SERRA NEGRA DO NORTE,Caatinga,2019,11,01
PARÁ,PARAGOMINAS,Amazônia,2019,11,02
MARANHÃO,SANTA RITA,Amazônia,2019,11,02
PARÁ,IPIXUNA DO PARÁ,Amazônia,2019,11,02
PARÁ,ANAPU,Amazônia,2019,11,02
PARÁ,TAILÂNDIA,Amazônia,2019,11,02
PARÁ,MOJU,Amazônia,2019,11,02
PARÁ,PORTO DE MOZ,Amazônia,2019,11,02
PIAUÍ,SÃO MIGUEL DO FIDALGO,Caatinga,2019,11,02
PARAÍBA,PRINCESA ISABEL,Caatinga,2019,11,02
PARÁ,CAPITÃO POÇO,Amazônia,2019,11,02
PARÁ,PORTEL,Amazônia,2019,11,02
MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2019,11,04
MATO GROSSO DO SUL,PORTO MURTINHO,Pantanal,2019,11,04
MATO GROSSO DO SUL,JATEÍ,Mata Atlântica,2019,11,04
MATO GROSSO DO SUL,MIRANDA,Pantanal,2019,11,04
MATO GROSSO,POCONÉ,Pantanal,2019,11,06
MATO GROSSO,CÁCERES,Pantanal,2019,11,06
MATO GROSSO,MIRASSOL D'OESTE,Amazônia,2019,11,06
GOIÁS,ITAPACI,Cerrado,2019,11,06
AMAZONAS,HUMAITÁ,Amazônia,2019,11,06
AMAZONAS,APUÍ,Amazônia,2019,11,06
RONDÔNIA,ALTO PARAÍSO,Amazônia,2019,11,06
RONDÔNIA,RIO CRESPO,Amazônia,2019,11,06
PARÁ,PACAJÁ,Amazônia,2019,11,07
PARÁ,PRAINHA,Amazônia,2019,11,07
MARANHÃO,ITAPECURU MIRIM,Cerrado,2019,11,07
PARÁ,SANTARÉM,Amazônia,2019,11,07
PIAUÍ,PIRACURUCA,Caatinga,2019,11,07
PARÁ,IPIXUNA DO PARÁ,Amazônia,2019,11,07
PARÁ,ALMEIRIM,Amazônia,2019,11,07
PIAUÍ,CURIMATÁ,Cerrado,2019,11,07
PARÁ,MOJU,Amazônia,2019,11,07
MARANHÃO,CODÓ,Cerrado,2019,11,07
PARÁ,ALTAMIRA,Amazônia,2019,11,07
PARÁ,PARAGOMINAS,Amazônia,2019,11,07
PARÁ,PLACAS,Amazônia,2019,11,07
MARANHÃO,VIANA,Amazônia,2019,11,07
MATO GROSSO,NOVO SANTO ANTÔNIO,Cerrado,2019,11,07
PARÁ,URUARÁ,Amazônia,2019,11,07
PERNAMBUCO,SANTA MARIA DA BOA VISTA,Caatinga,2019,11,07
PARÁ,ANAPU,Amazônia,2019,11,07
PARÁ,SÃO DOMINGOS DO CAPIM,Amazônia,2019,11,07
MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,Amazônia,2019,11,07
MATO GROSSO,BOM JESUS DO ARAGUAIA,Amazônia,2019,11,07
MATO GROSSO,SANTA CARMEM,Amazônia,2019,11,07
PARÁ,MEDICILÂNDIA,Amazônia,2019,11,07
PARÁ,SALINÓPOLIS,Amazônia,2019,11,07
BAHIA,SANTA RITA DE CÁSSIA,Cerrado,2019,11,07
BAHIA,BREJOLÂNDIA,Cerrado,2019,11,07
PIAUÍ,PARNAGUÁ,Cerrado,2019,11,07
PARÁ,PORTEL,Amazônia,2019,11,07
PARÁ,AVEIRO,Amazônia,2019,11,07
RIO GRANDE DO SUL,SANTIAGO,Pampa,2019,11,08
RIO GRANDE DO SUL,PIRATINI,Pampa,2019,11,08
MINAS GERAIS,RESPLENDOR,Mata Atlântica,2019,11,09
ESPÍRITO SANTO,COLATINA,Mata Atlântica,2019,11,09
MINAS GERAIS,CHAPADA GAÚCHA,Cerrado,2019,11,09
BAHIA,COCOS,Cerrado,2019,11,09
PIAUÍ,PARNAGUÁ,Cerrado,2019,11,09
ESPÍRITO SANTO,CONCEIÇÃO DA BARRA,Mata Atlântica,2019,11,09
MINAS GERAIS,SACRAMENTO,Cerrado,2019,11,09
BAHIA,TABOCAS DO BREJO VELHO,Cerrado,2019,11,09
PIAUÍ,MONTE ALEGRE DO PIAUÍ,Cerrado,2019,11,09
MINAS GERAIS,GRÃO MOGOL,Cerrado,2019,11,09
ESPÍRITO SANTO,LINHARES,Mata Atlântica,2019,11,09
PIAUÍ,OEIRAS,Caatinga,2019,11,09
MINAS GERAIS,CARLOS CHAGAS,Mata Atlântica,2019,11,09
PIAUÍ,SÃO MIGUEL DO TAPUIO,Caatinga,2019,11,09
MARANHÃO,ROSÁRIO,Amazônia,2019,11,09
MARANHÃO,SÃO BENTO,Amazônia,2019,11,09
CEARÁ,COREAÚ,Caatinga,2019,11,09
PARÁ,BAIÃO,Amazônia,2019,11,09
MARANHÃO,URBANO SANTOS,Cerrado,2019,11,09
MARANHÃO,BARREIRINHAS,Cerrado,2019,11,09
MARANHÃO,CURURUPU,Amazônia,2019,11,09
PARÁ,SÃO JOÃO DE PIRABAS,Amazônia,2019,11,09
MARANHÃO,BURITI,Cerrado,2019,11,09
PARÁ,ANAPU,Amazônia,2019,11,09
PIAUÍ,PIMENTEIRAS,Caatinga,2019,11,11
CEARÁ,IPU,Caatinga,2019,11,13
CEARÁ,PORANGA,Caatinga,2019,11,13
PIAUÍ,SÃO MIGUEL DO TAPUIO,Caatinga,2019,11,13
MARANHÃO,BARREIRINHAS,Cerrado,2019,11,13
CEARÁ,BARRO,Caatinga,2019,11,15
PARAÍBA,SÃO JOSÉ DE CAIANA,Caatinga,2019,11,15
CEARÁ,ARARIPE,Caatinga,2019,11,15
PARAÍBA,OLHO D'ÁGUA,Caatinga,2019,11,15
PERNAMBUCO,BODOCÓ,Caatinga,2019,11,15
PIAUÍ,SÃO JOSÉ DO PEIXE,Caatinga,2019,11,15
PARÁ,NOVA ESPERANÇA DO PIRIÁ,Amazônia,2019,11,16
MARANHÃO,SANTA HELENA,Amazônia,2019,11,16
MARANHÃO,PRESIDENTE SARNEY,Amazônia,2019,11,16
PARÁ,MOJU,Amazônia,2019,11,16
PARÁ,SÃO DOMINGOS DO ARAGUAIA,Amazônia,2019,11,16
PARÁ,MARABÁ,Amazônia,2019,11,16
PARÁ,IGARAPÉ-MIRI,Amazônia,2019,11,16
PARÁ,PORTEL,Amazônia,2019,11,16
MARANHÃO,ITINGA DO MARANHÃO,Amazônia,2019,11,16
CEARÁ,FRECHEIRINHA,Caatinga,2019,11,16
CEARÁ,CAUCAIA,Caatinga,2019,11,16
CEARÁ,CARIRÉ,Caatinga,2019,11,16
PIAUÍ,BATALHA,Caatinga,2019,11,16
CEARÁ,TEJUÇUOCA,Caatinga,2019,11,16
CEARÁ,MARANGUAPE,Caatinga,2019,11,16
MARANHÃO,LORETO,Cerrado,2019,11,16
MARANHÃO,SÃO RAIMUNDO DAS MANGABEIRAS,Cerrado,2019,11,16
MARANHÃO,CAROLINA,Cerrado,2019,11,16
PARÁ,RIO MARIA,Amazônia,2019,11,16
MARANHÃO,MILAGRES DO MARANHÃO,Cerrado,2019,11,16
PARÁ,PALESTINA DO PARÁ,Amazônia,2019,11,16
MARANHÃO,MIRADOR,Cerrado,2019,11,16
PARÁ,ELDORADO DO CARAJÁS,Amazônia,2019,11,16
MARANHÃO,FORMOSA DA SERRA NEGRA,Cerrado,2019,11,16
MARANHÃO,SÃO JOÃO DO PARAÍSO,Cerrado,2019,11,16
MARANHÃO,FERNANDO FALCÃO,Cerrado,2019,11,16
MATO GROSSO DO SUL,TAQUARUSSU,Mata Atlântica,2019,11,18
MARANHÃO,PEDRO DO ROSÁRIO,Amazônia,2019,11,18
MARANHÃO,ROSÁRIO,Amazônia,2019,11,18
PARÁ,PORTEL,Amazônia,2019,11,18
MARANHÃO,ITAPECURU MIRIM,Amazônia,2019,11,18
MARANHÃO,JENIPAPO DOS VIEIRAS,Cerrado,2019,11,18
MATO GROSSO,CAMPINÁPOLIS,Cerrado,2019,06,24
MATO GROSSO,NOVA MUTUM,Cerrado,2019,06,24
PARÁ,AVEIRO,Amazônia,2019,06,24
AMAZONAS,CAREIRO DA VÁRZEA,Amazônia,2019,06,24
RONDÔNIA,RIO CRESPO,Amazônia,2019,06,24
RONDÔNIA,MACHADINHO D'OESTE,Amazônia,2019,06,24
SANTA CATARINA,XAVANTINA,Mata Atlântica,2019,06,24
RIO GRANDE DO SUL,CACIQUE DOBLE,Mata Atlântica,2019,06,24
SANTA CATARINA,SÃO JOSÉ DO CERRITO,Mata Atlântica,2019,06,24
GOIÁS,LUZIÂNIA,Cerrado,2019,06,24
TOCANTINS,ARAPOEMA,Amazônia,2019,07,19
PARÁ,ALTAMIRA,Amazônia,2019,07,19
AMAZONAS,APUÍ,Amazônia,2019,07,19
PARÁ,SÃO FÉLIX DO XINGU,Amazônia,2019,07,19
MARANHÃO,CAROLINA,Cerrado,2019,07,19
PARÁ,CUMARU DO NORTE,Amazônia,2019,07,19
TOCANTINS,PORTO NACIONAL,Cerrado,2019,07,11
TOCANTINS,MATEIROS,Cerrado,2019,07,11
TOCANTINS,PONTE ALTA DO TOCANTINS,Cerrado,2019,07,11
TOCANTINS,ALMAS,Cerrado,2019,07,11
TOCANTINS,SANTA RITA DO TOCANTINS,Cerrado,2019,07,11
MATO GROSSO,MARCELÂNDIA,Amazônia,2019,07,11
MATO GROSSO,MARCELÂNDIA,Amazônia,2019,07,11
MINAS GERAIS,PARACATU,Cerrado,2019,07,11
MINAS GERAIS,PERIQUITO,Mata Atlântica,2019,07,11
MINAS GERAIS,CURVELO,Cerrado,2019,07,11
MINAS GERAIS,ÁGUA BOA,Mata Atlântica,2019,07,11
MINAS GERAIS,JOÃO PINHEIRO,Cerrado,2019,07,11
MINAS GERAIS,CAPELINHA,Mata Atlântica,2019,07,11
MINAS GERAIS,LASSANCE,Cerrado,2019,07,11
GOIÁS,CATALÃO,Cerrado,2019,07,11
GOIÁS,EDEALINA,Cerrado,2019,07,11
SÃO PAULO,ARAÇATUBA,Mata Atlântica,2019,07,11
RIO DE JANEIRO,SUMIDOURO,Mata Atlântica,2019,07,11
RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,Mata Atlântica,2019,07,11
MARANHÃO,BARREIRINHAS,Cerrado,2019,07,11
RIO DE JANEIRO,SEROPÉDICA,Mata Atlântica,2019,07,12
MINAS GERAIS,CALDAS,Mata Atlântica,2019,07,12
