estado,municipio,bioma,ano,mês,dia
RORAIMA,AMAJARI,Amazônia,2018,02,02
BAHIA,CAMAÇARI,Mata Atlântica,2018,02,02
PERNAMBUCO,TABIRA,Caatinga,2018,02,02
ALAGOAS,SANTANA DO IPANEMA,Caatinga,2018,02,02
PARANÁ,PRUDENTÓPOLIS,Mata Atlântica,2018,04,20
MARANHÃO,BURITI,Cerrado,2018,04,21
MATO GROSSO,PORTO DOS GAÚCHOS,Amazônia,2018,05,18
MATO GROSSO,UNIÃO DO SUL,Amazônia,2018,05,18
BAHIA,RUY BARBOSA,Caatinga,2018,05,19
MARANHÃO,BALSAS,Cerrado,2018,05,19
PIAUÍ,URUÇUÍ,Cerrado,2018,05,19
AMAZONAS,MANICORÉ,Amazônia,2018,06,19
MATO GROSSO,ROSÁRIO OESTE,Cerrado,2018,06,19
TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,2018,07,06
MATO GROSSO,FELIZ NATAL,Amazônia,2018,07,06
MATO GROSSO,ALTO BOA VISTA,Amazônia,2018,07,06
MATO GROSSO,GAÚCHA DO NORTE,Amazônia,2018,07,06
MINAS GERAIS,CONCEIÇÃO DAS ALAGOAS,Cerrado,2018,07,27
MINAS GERAIS,SÃO SEBASTIÃO DO PARAÍSO,Cerrado,2018,07,27
SÃO PAULO,RESTINGA,Cerrado,2018,07,27
MINAS GERAIS,SÃO JOÃO BATISTA DO GLÓRIA,Cerrado,2018,07,27
MINAS GERAIS,SÃO ROQUE DE MINAS,Cerrado,2018,07,27
MINAS GERAIS,MEDEIROS,Cerrado,2018,07,27
MINAS GERAIS,ÁGUA COMPRIDA,Cerrado,2018,07,27
PIAUÍ,FLORIANO,Caatinga,2018,07,24
MINAS GERAIS,MONTE ALEGRE DE MINAS,Mata Atlântica,2018,07,27
MATO GROSSO,NOSSA SENHORA DO LIVRAMENTO,Cerrado,2018,07,27
MATO GROSSO,PRIMAVERA DO LESTE,Cerrado,2018,07,27
MATO GROSSO,NOVA NAZARÉ,Cerrado,2018,07,27
SÃO PAULO,LINS,Mata Atlântica,2018,07,27
MINAS GERAIS,CENTRALINA,Mata Atlântica,2018,07,27
SÃO PAULO,IBIRAREMA,Mata Atlântica,2018,07,27
SÃO PAULO,GÁLIA,Mata Atlântica,2018,07,27
SÃO PAULO,PIRAJUÍ,Mata Atlântica,2018,07,27
PARANÁ,JOAQUIM TÁVORA,Mata Atlântica,2018,07,27
SÃO PAULO,BERNARDINO DE CAMPOS,Mata Atlântica,2018,07,27
SÃO PAULO,IPAUSSU,Mata Atlântica,2018,07,27
SÃO PAULO,MIRANDÓPOLIS,Mata Atlântica,2018,07,27
SÃO PAULO,CORONEL MACEDO,Cerrado,2018,07,27
SÃO PAULO,ARARAQUARA,Cerrado,2018,07,29
SÃO PAULO,SOROCABA,Mata Atlântica,2018,07,29
SÃO PAULO,CEDRAL,Mata Atlântica,2018,07,29
PIAUÍ,SEBASTIÃO LEAL,Cerrado,2018,08,04
PIAUÍ,BERTOLÍNIA,Caatinga,2018,08,05
MARANHÃO,CODÓ,Cerrado,2018,08,06
PIAUÍ,JERUMENHA,Caatinga,2018,08,06
BAHIA,BARRA,Cerrado,2018,08,06
BAHIA,COCOS,Cerrado,2018,08,07
CEARÁ,OCARA,Caatinga,2018,08,18
GOIÁS,TRINDADE,Cerrado,2018,08,18
CEARÁ,ITAPIPOCA,Caatinga,2018,08,19
GOIÁS,CERES,Cerrado,2018,08,19
RONDÔNIA,NOVA MAMORÉ,Amazônia,2018,08,25
