estado,municipio,bioma,ano,mês,dia
MINAS GERAIS,TAQUARAÇU DE MINAS,Cerrado,2016,01,01
RORAIMA,NORMANDIA,Amazônia,2016,01,02
RORAIMA,AMAJARI,Amazônia,2016,01,02
RORAIMA,CAROEBE,Amazônia,2016,01,02
RORAIMA,SÃO LUIZ,Amazônia,2016,01,02
AMAZONAS,BARCELOS,Amazônia,2016,01,02
RORAIMA,CANTÁ,Amazônia,2016,01,02
RORAIMA,BONFIM,Amazônia,2016,01,02
MARANHÃO,CARUTAPERA,Amazônia,2016,01,03
MARANHÃO,CAJARI,Amazônia,2016,01,03
MARANHÃO,CENTRO NOVO DO MARANHÃO,Amazônia,2016,01,03
PARÁ,TOMÉ-AÇU,Amazônia,2016,01,03
PARÁ,VISEU,Amazônia,2016,01,03
PERNAMBUCO,ITAMBÉ,Mata Atlântica,2016,01,03
PIAUÍ,SÃO FRANCISCO DE ASSIS DO PIAUÍ,Caatinga,2016,01,03
BAHIA,ANTÔNIO GONÇALVES,Caatinga,2016,01,03
SERGIPE,CANHOBA,Mata Atlântica,2016,01,03
ALAGOAS,PILAR,Mata Atlântica,2016,01,03
SERGIPE,SIMÃO DIAS,Caatinga,2016,01,03
ALAGOAS,SÃO MIGUEL DOS CAMPOS,Mata Atlântica,2016,01,03
BAHIA,JEREMOABO,Caatinga,2016,01,03
MARANHÃO,ALTO PARNAÍBA,Cerrado,2016,01,03
BAHIA,EUNÁPOLIS,Mata Atlântica,2016,01,03
BAHIA,CANAVIEIRAS,Mata Atlântica,2016,01,03
PARÁ,NOVA ESPERANÇA DO PIRIÁ,Amazônia,2016,01,04
PARÁ,CAPITÃO POÇO,Amazônia,2016,01,04
PARÁ,PACAJÁ,Amazônia,2016,01,04
MARANHÃO,VIANA,Amazônia,2016,01,04
CEARÁ,BARROQUINHA,Caatinga,2016,01,05
MARANHÃO,HUMBERTO DE CAMPOS,Cerrado,2016,01,05
MARANHÃO,ARAIOSES,Cerrado,2016,01,05
CEARÁ,MARTINÓPOLE,Caatinga,2016,01,05
PIAUÍ,PARNAÍBA,Caatinga,2016,01,05
CEARÁ,CASCAVEL,Caatinga,2016,01,05
AMAZONAS,BARCELOS,Amazônia,2016,01,05
PIAUÍ,BURITI DOS MONTES,Caatinga,2016,01,05
CEARÁ,COREAÚ,Caatinga,2016,01,05
CEARÁ,ARACATI,Caatinga,2016,01,05
PIAUÍ,ESPERANTINA,Caatinga,2016,01,05
MARANHÃO,VARGEM GRANDE,Cerrado,2016,01,05
CEARÁ,PENTECOSTE,Caatinga,2016,01,05
CEARÁ,MORAÚJO,Caatinga,2016,01,05
PARÁ,SANTARÉM,Amazônia,2016,01,07
PARÁ,ÓBIDOS,Amazônia,2016,01,07
AMAZONAS,TEFÉ,Amazônia,2016,01,07
PARÁ,MONTE ALEGRE,Amazônia,2016,01,07
RORAIMA,ALTO ALEGRE,Amazônia,2016,01,14
RORAIMA,CARACARAÍ,Amazônia,2016,01,14
BAHIA,EUNÁPOLIS,Mata Atlântica,2016,01,12
BAHIA,BELMONTE,Mata Atlântica,2016,01,12
BAHIA,SANTA LUZIA,Mata Atlântica,2016,01,12
BAHIA,CANAVIEIRAS,Mata Atlântica,2016,01,12
PARÁ,SÃO JOÃO DO ARAGUAIA,Amazônia,2016,02,18
MINAS GERAIS,ITAMBACURI,Mata Atlântica,2016,02,18
MINAS GERAIS,ATALÉIA,Mata Atlântica,2016,02,18
GOIÁS,RIO VERDE,Cerrado,2016,02,18
RIO GRANDE DO SUL,PORTO ALEGRE,Pampa,2016,01,20
SANTA CATARINA,TREZE DE MAIO,Mata Atlântica,2016,01,20
SANTA CATARINA,ANGELINA,Mata Atlântica,2016,01,20
SANTA CATARINA,NOVA VENEZA,Mata Atlântica,2016,01,20
RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,2016,01,20
SANTA CATARINA,ALFREDO WAGNER,Mata Atlântica,2016,01,20
RORAIMA,RORAINÓPOLIS,Amazônia,2016,02,18
AMAZONAS,SANTA ISABEL DO RIO NEGRO,Amazônia,2016,02,18
PARÁ,ULIANÓPOLIS,Amazônia,2016,02,18
PARÁ,ITUPIRANGA,Amazônia,2016,02,18
MARANHÃO,GRAJAÚ,Cerrado,2016,02,18
PARÁ,PARAGOMINAS,Amazônia,2016,02,18
PARÁ,RONDON DO PARÁ,Amazônia,2016,02,18
PARÁ,PIÇARRA,Amazônia,2016,02,18
MARANHÃO,AMARANTE DO MARANHÃO,Amazônia,2016,02,18
MARANHÃO,ALTAMIRA DO MARANHÃO,Amazônia,2016,02,18
PARÁ,IPIXUNA DO PARÁ,Amazônia,2016,02,18
RONDÔNIA,CORUMBIARA,Amazônia,2016,02,18
MATO GROSSO,PORTO DOS GAÚCHOS,Amazônia,2016,02,18
MATO GROSSO,NOVA MUTUM,Cerrado,2016,02,18
MARANHÃO,CODÓ,Cerrado,2016,02,18
MARANHÃO,JATOBÁ,Cerrado,2016,02,18
MARANHÃO,BURITIRANA,Cerrado,2016,02,18
PARÁ,IPIXUNA DO PARÁ,Amazônia,2016,02,18
TOCANTINS,XAMBIOÁ,Amazônia,2016,02,18
SÃO PAULO,CARDOSO,Cerrado,2016,01,22
PARÁ,ALTAMIRA,Amazônia,2016,01,22
PARÁ,ALMEIRIM,Amazônia,2016,01,22
PARÁ,PORTO DE MOZ,Amazônia,2016,01,22
PARÁ,MEDICILÂNDIA,Amazônia,2016,01,22
RORAIMA,CAROEBE,Amazônia,2016,01,22
RORAIMA,CARACARAÍ,Amazônia,2016,01,22
RORAIMA,SÃO JOÃO DA BALIZA,Amazônia,2016,01,22
PARÁ,NOVA ESPERANÇA DO PIRIÁ,Amazônia,2016,01,22
PARÁ,PARAGOMINAS,Amazônia,2016,01,22
PARÁ,PORTEL,Amazônia,2016,01,22
PARÁ,ANAPU,Amazônia,2016,01,22
PARÁ,URUARÁ,Amazônia,2016,01,22
PARÁ,PRAINHA,Amazônia,2016,01,22
RORAIMA,CARACARAÍ,Amazônia,2016,01,23
RORAIMA,RORAINÓPOLIS,Amazônia,2016,01,23
RORAIMA,ALTO ALEGRE,Amazônia,2016,01,23
RORAIMA,IRACEMA,Amazônia,2016,01,23
RORAIMA,NORMANDIA,Amazônia,2016,01,23
RORAIMA,MUCAJAÍ,Amazônia,2016,01,23
RORAIMA,AMAJARI,Amazônia,2016,01,23
RORAIMA,BONFIM,Amazônia,2016,01,23
RORAIMA,RORAINÓPOLIS,Amazônia,2016,01,26
AMAZONAS,SÃO GABRIEL DA CACHOEIRA,Amazônia,2016,01,26
AMAZONAS,BARCELOS,Amazônia,2016,01,26
PARÁ,ALMEIRIM,Amazônia,2016,01,24
PARÁ,GURUPÁ,Amazônia,2016,01,24
PARÁ,PORTO DE MOZ,Amazônia,2016,01,24
PARÁ,BRASIL NOVO,Amazônia,2016,01,24
MATO GROSSO,SÃO JOSÉ DO XINGU,Amazônia,2016,02,18
MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,Amazônia,2016,02,18
TOCANTINS,MATEIROS,Cerrado,2016,02,18
TOCANTINS,PINDORAMA DO TOCANTINS,Cerrado,2016,02,18
TOCANTINS,JAÚ DO TOCANTINS,Cerrado,2016,02,18
MATO GROSSO,QUERÊNCIA,Amazônia,2016,02,18
TOCANTINS,CRISTALÂNDIA,Cerrado,2016,02,18
TOCANTINS,ALMAS,Cerrado,2016,02,18
TOCANTINS,PONTE ALTA DO TOCANTINS,Cerrado,2016,02,18
RORAIMA,UIRAMUTÃ,Amazônia,2016,01,27
AMAZONAS,BARCELOS,Amazônia,2016,01,27
RORAIMA,CARACARAÍ,Amazônia,2016,01,27
RORAIMA,IRACEMA,Amazônia,2016,01,27
TOCANTINS,ANANÁS,Amazônia,2016,02,18
MARANHÃO,SÃO FRANCISCO DO BREJÃO,Amazônia,2016,02,18
PARÁ,DOM ELISEU,Amazônia,2016,02,18
MARANHÃO,GOVERNADOR EUGÊNIO BARROS,Cerrado,2016,02,18
MATO GROSSO,ARAGUAIANA,Cerrado,2016,02,18
SÃO PAULO,GUAÍRA,Cerrado,2016,02,05
MATO GROSSO DO SUL,FIGUEIRÃO,Cerrado,2016,02,05
RORAIMA,CARACARAÍ,Amazônia,2016,01,25
PARÁ,VITÓRIA DO XINGU,Amazônia,2016,01,25
MATO GROSSO,CLÁUDIA,Amazônia,2016,01,25
MATO GROSSO,CAMPO NOVO DO PARECIS,Cerrado,2016,01,25
MATO GROSSO,DIAMANTINO,Cerrado,2016,01,25
MATO GROSSO,SANTO AFONSO,Amazônia,2016,01,25
MATO GROSSO,NOVA MARINGÁ,Amazônia,2016,01,25
TOCANTINS,SANTA FÉ DO ARAGUAIA,Amazônia,2016,02,18
TOCANTINS,RIO SONO,Cerrado,2016,02,18
PIAUÍ,CRISTINO CASTRO,Cerrado,2016,02,18
PIAUÍ,ALVORADA DO GURGUÉIA,Cerrado,2016,02,18
BAHIA,CAMPO ALEGRE DE LOURDES,Caatinga,2016,02,18
PIAUÍ,MONTE ALEGRE DO PIAUÍ,Cerrado,2016,02,18
MARANHÃO,SÃO BERNARDO,Cerrado,2016,02,18
MARANHÃO,CHAPADINHA,Cerrado,2016,02,18
TOCANTINS,MONTE SANTO DO TOCANTINS,Cerrado,2016,02,18
MARANHÃO,CAXIAS,Cerrado,2016,02,18
BAHIA,PORTO SEGURO,Mata Atlântica,2016,02,25
MINAS GERAIS,CORONEL MURTA,Cerrado,2016,02,25
MINAS GERAIS,LAGAMAR,Cerrado,2016,02,25
