estado,municipio,bioma,ano,mês,dia
MATO GROSSO,CÁCERES,Pantanal,2023,01,02
MATO GROSSO,POCONÉ,Pantanal,2023,01,02
MARANHÃO,AMARANTE DO MARANHÃO,Cerrado,2023,01,02
MARANHÃO,TASSO FRAGOSO,Cerrado,2023,01,02
MARANHÃO,ALTO PARNAÍBA,Cerrado,2023,01,02
TOCANTINS,DOIS IRMÃOS DO TOCANTINS,Cerrado,2023,01,02
MATO GROSSO,PEIXOTO DE AZEVEDO,Amazônia,2023,01,02
BAHIA,BAIANÓPOLIS,Cerrado,2023,01,02
BAHIA,SÃO DESIDÉRIO,Cerrado,2023,01,02
MATO GROSSO DO SUL,SONORA,Cerrado,2023,01,02
MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2023,01,02
SÃO PAULO,UCHOA,Mata Atlântica,2023,01,02
SÃO PAULO,CASA BRANCA,Cerrado,2023,01,02
SÃO PAULO,PIRACICABA,Cerrado,2023,01,02
RIO GRANDE DO SUL,ESMERALDA,Mata Atlântica,2023,01,02
MARANHÃO,TIMBIRAS,Cerrado,2023,01,02
MARANHÃO,SANTA HELENA,Amazônia,2023,01,02
PARÁ,PRAINHA,Amazônia,2023,01,02
PARÁ,MOJUÍ DOS CAMPOS,Amazônia,2023,01,02
AMAZONAS,ITACOATIARA,Amazônia,2023,01,02
RORAIMA,NORMANDIA,Amazônia,2023,01,02
CEARÁ,PEDRA BRANCA,Caatinga,2023,01,03
CEARÁ,PIQUET CARNEIRO,Caatinga,2023,01,03
PARAÍBA,APARECIDA,Caatinga,2023,01,03
CEARÁ,ALTO SANTO,Caatinga,2023,01,03
CEARÁ,INDEPENDÊNCIA,Caatinga,2023,01,03
PARAÍBA,MARIZÓPOLIS,Caatinga,2023,01,03
CEARÁ,ICÓ,Caatinga,2023,01,03
PARAÍBA,SERRA GRANDE,Caatinga,2023,01,03
MARANHÃO,MIRINZAL,Amazônia,2023,01,03
PARÁ,CACHOEIRA DO PIRIÁ,Amazônia,2023,01,03
MARANHÃO,ALCÂNTARA,Amazônia,2023,01,03
CEARÁ,ACOPIARA,Caatinga,2023,01,03
MARANHÃO,PINHEIRO,Amazônia,2023,01,03
PARÁ,TAILÂNDIA,Amazônia,2023,01,03
CEARÁ,MOMBAÇA,Caatinga,2023,01,03
TOCANTINS,ARAGUATINS,Cerrado,2023,01,03
BAHIA,BOM JESUS DA LAPA,Cerrado,2023,01,03
BAHIA,BARRA DA ESTIVA,Caatinga,2023,01,03
PARAÍBA,ITAPORANGA,Caatinga,2023,01,03
MINAS GERAIS,CARLOS CHAGAS,Mata Atlântica,2023,01,03
ESPÍRITO SANTO,DOMINGOS MARTINS,Mata Atlântica,2023,01,03
CEARÁ,GRANJA,Caatinga,2023,01,03
CEARÁ,MARTINÓPOLE,Caatinga,2023,01,03
PERNAMBUCO,QUIXABA,Caatinga,2023,01,03
PIAUÍ,MURICI DOS PORTELAS,Caatinga,2023,01,03
CEARÁ,SANTANA DO ACARAÚ,Caatinga,2023,01,03
PIAUÍ,COCAL,Caatinga,2023,01,03
CEARÁ,TRAIRI,Caatinga,2023,01,03
CEARÁ,TURURU,Caatinga,2023,01,03
PIAUÍ,CARAÚBAS DO PIAUÍ,Caatinga,2023,01,03
PERNAMBUCO,IGUARACY,Caatinga,2023,01,03
MARANHÃO,BREJO,Cerrado,2023,01,03
MARANHÃO,BURITI,Cerrado,2023,01,03
CEARÁ,CAUCAIA,Caatinga,2023,01,03
CEARÁ,TEJUÇUOCA,Caatinga,2023,01,03
CEARÁ,AQUIRAZ,Caatinga,2023,01,03
MARANHÃO,CHAPADINHA,Cerrado,2023,01,03
PERNAMBUCO,PESQUEIRA,Caatinga,2023,01,03
CEARÁ,CARIRÉ,Caatinga,2023,01,03
CEARÁ,SANTA QUITÉRIA,Caatinga,2023,01,03
CEARÁ,CANINDÉ,Caatinga,2023,01,03
CEARÁ,HIDROLÂNDIA,Caatinga,2023,01,03
CEARÁ,IPUEIRAS,Caatinga,2023,01,03
CEARÁ,BEBERIBE,Caatinga,2023,01,03
