estado,municipio,bioma,ano,mês,dia
SERGIPE,TOBIAS BARRETO,Caatinga,2014,02,16
SERGIPE,LAGARTO,Caatinga,2014,02,16
RORAIMA,CARACARAÍ,Amazônia,2014,02,16
AMAZONAS,SÃO GABRIEL DA CACHOEIRA,Amazônia,2014,02,16
RORAIMA,CANTÁ,Amazônia,2014,02,16
AMAZONAS,SÃO GABRIEL DA CACHOEIRA,Amazônia,2014,02,16
RORAIMA,BONFIM,Amazônia,2014,02,16
RORAIMA,BOA VISTA,Amazônia,2014,02,16
BAHIA,COCOS,Cerrado,2014,01,16
RIO DE JANEIRO,SAQUAREMA,Mata Atlântica,2014,01,20
PARÁ,SÃO MIGUEL DO GUAMÁ,Amazônia,2014,01,20
PARÁ,NOVA TIMBOTEUA,Amazônia,2014,01,20
MARANHÃO,JUNCO DO MARANHÃO,Amazônia,2014,01,20
PARAÍBA,MOGEIRO,Caatinga,2014,01,31
PERNAMBUCO,TIMBAÚBA,Mata Atlântica,2014,02,25
MATO GROSSO,TANGARÁ DA SERRA,Cerrado,2014,02,25
MATO GROSSO,COMODORO,Amazônia,2014,02,25
MATO GROSSO,ARIPUANÃ,Amazônia,2014,02,25
RONDÔNIA,ALTO PARAÍSO,Amazônia,2014,02,25
MINAS GERAIS,JUVENÍLIA,Cerrado,2014,02,23
ALAGOAS,CORURIPE,Mata Atlântica,2014,02,23
MINAS GERAIS,CORONEL MURTA,Cerrado,2014,02,23
MINAS GERAIS,TIROS,Cerrado,2014,06,15
PARANÁ,GUAPOREMA,Mata Atlântica,2014,06,21
BAHIA,MUCURI,Mata Atlântica,2014,04,24
MARANHÃO,BALSAS,Cerrado,2014,05,15
SÃO PAULO,ZACARIAS,Mata Atlântica,2014,06,03
MINAS GERAIS,TIROS,Cerrado,2014,06,07
MINAS GERAIS,JAÍBA,Caatinga,2014,07,11
TOCANTINS,ALMAS,Cerrado,2014,07,11
MARANHÃO,FERNANDO FALCÃO,Cerrado,2014,07,11
MARANHÃO,TUTÓIA,Cerrado,2014,07,05
SÃO PAULO,CASA BRANCA,Cerrado,2014,07,19
PIAUÍ,JERUMENHA,Cerrado,2014,07,25
MINAS GERAIS,UBERABA,Cerrado,2014,07,22
BAHIA,COCOS,Cerrado,2014,07,23
MINAS GERAIS,LAGAMAR,Cerrado,2014,08,08
PIAUÍ,JERUMENHA,Cerrado,2014,08,02
PIAUÍ,GUADALUPE,Cerrado,2014,08,03
PARÁ,PAU D'ARCO,Amazônia,2014,08,03
SÃO PAULO,PONTAL,Cerrado,2014,08,03
PIAUÍ,LANDRI SALES,Cerrado,2014,08,09
MARANHÃO,LORETO,Cerrado,2014,08,07
MINAS GERAIS,TAPIRA,Cerrado,2014,08,05
MARANHÃO,BALSAS,Cerrado,2014,08,10
PIAUÍ,ANTÔNIO ALMEIDA,Cerrado,2014,07,09
GOIÁS,IPAMERI,Cerrado,2014,07,07
TOCANTINS,LIZARDA,Cerrado,2014,08,10
RORAIMA,CANTÁ,Amazônia,2014,02,18
RORAIMA,RORAINÓPOLIS,Amazônia,2014,02,18
RORAIMA,CARACARAÍ,Amazônia,2014,02,15
RORAIMA,PACARAIMA,Amazônia,2014,02,15
MATO GROSSO DO SUL,PARAÍSO DAS ÁGUAS,Cerrado,2014,02,15
PARÁ,PRAINHA,Amazônia,2014,02,15
BAHIA,BELMONTE,Mata Atlântica,2014,01,01
AMAZONAS,PRESIDENTE FIGUEIREDO,Amazônia,2014,01,01
RORAIMA,AMAJARI,Amazônia,2014,01,01
RORAIMA,ALTO ALEGRE,Amazônia,2014,01,01
MARANHÃO,TURILÂNDIA,Amazônia,2014,01,01
MARANHÃO,BACURI,Amazônia,2014,01,01
MARANHÃO,ANAJATUBA,Amazônia,2014,01,01
MARANHÃO,GOVERNADOR NUNES FREIRE,Amazônia,2014,01,01
AMAZONAS,AUTAZES,Amazônia,2014,01,01
PARÁ,MONTE ALEGRE,Amazônia,2014,01,01
AMAZONAS,SÃO SEBASTIÃO DO UATUMÃ,Amazônia,2014,01,01
AMAZONAS,ITACOATIARA,Amazônia,2014,01,01
RORAIMA,IRACEMA,Amazônia,2014,02,18
