estado,municipio,bioma,ano,mês,dia
PIAUÍ,OEIRAS,Caatinga,2021,07,30
MARANHÃO,ALTO PARNAÍBA,Cerrado,2021,07,30
MARANHÃO,FORTUNA,Cerrado,2021,07,30
RIO GRANDE DO SUL,SÃO FRANCISCO DE PAULA,Mata Atlântica,2021,07,30
TOCANTINS,LAGOA DA CONFUSÃO,Cerrado,2021,07,30
MINAS GERAIS,CAMPOS GERAIS,Mata Atlântica,2021,07,30
TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,2021,07,30
AMAZONAS,CANUTAMA,Amazônia,2021,07,30
AMAZONAS,EIRUNEPÉ,Amazônia,2021,07,30
RONDÔNIA,PORTO VELHO,Amazônia,2021,07,30
ACRE,SANTA ROSA DO PURUS,Amazônia,2021,07,30
ACRE,MANOEL URBANO,Amazônia,2021,07,30
RONDÔNIA,CAMPO NOVO DE RONDÔNIA,Amazônia,2021,07,30
RONDÔNIA,GOVERNADOR JORGE TEIXEIRA,Amazônia,2021,07,30
RONDÔNIA,NOVA MAMORÉ,Amazônia,2021,07,30
RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,2021,07,30
AMAZONAS,ENVIRA,Amazônia,2021,07,30
RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,2021,07,30
ACRE,SENA MADUREIRA,Amazônia,2021,07,30
ACRE,RIO BRANCO,Amazônia,2021,07,30
ACRE,BUJARI,Amazônia,2021,07,30
RONDÔNIA,PORTO VELHO,Amazônia,2021,07,30
AMAZONAS,LÁBREA,Amazônia,2021,07,30
RONDÔNIA,ARIQUEMES,Amazônia,2021,07,30
RONDÔNIA,ALTO PARAÍSO,Amazônia,2021,07,30
ACRE,FEIJÓ,Amazônia,2021,07,30
ACRE,ASSIS BRASIL,Amazônia,2021,07,30
ACRE,BRASILÉIA,Amazônia,2021,07,30
ACRE,SENA MADUREIRA,Amazônia,2021,07,30
AMAZONAS,LÁBREA,Amazônia,2021,07,30
RONDÔNIA,CUJUBIM,Amazônia,2021,07,30
AMAZONAS,BOCA DO ACRE,Amazônia,2021,07,30
ACRE,TARAUACÁ,Amazônia,2021,07,30
AMAZONAS,IPIXUNA,Amazônia,2021,07,30
AMAZONAS,COARI,Amazônia,2021,07,30
ACRE,JORDÃO,Amazônia,2021,07,30
ACRE,MARECHAL THAUMATURGO,Amazônia,2021,07,30
GOIÁS,NIQUELÂNDIA,Cerrado,2021,07,30
MARANHÃO,RIACHÃO,Cerrado,2021,07,30
MINAS GERAIS,BARBACENA,Mata Atlântica,2021,07,30
MINAS GERAIS,UBÁ,Mata Atlântica,2021,07,30
PARÁ,NOVO PROGRESSO,Amazônia,2021,07,30
MINAS GERAIS,DORES DO TURVO,Mata Atlântica,2021,07,30
MINAS GERAIS,CARANDAÍ,Mata Atlântica,2021,07,30
TOCANTINS,ARAGUAÍNA,Amazônia,2021,07,30
MINAS GERAIS,RITÁPOLIS,Mata Atlântica,2021,07,30
SÃO PAULO,PATROCÍNIO PAULISTA,Cerrado,2021,07,30
SÃO PAULO,MORRO AGUDO,Cerrado,2021,07,30
MINAS GERAIS,CAPETINGA,Cerrado,2021,07,30
MINAS GERAIS,DELFINÓPOLIS,Cerrado,2021,07,30
MINAS GERAIS,OURO PRETO,Mata Atlântica,2021,07,30
MINAS GERAIS,SANTA BÁRBARA,Mata Atlântica,2021,07,30
MINAS GERAIS,TIROS,Cerrado,2021,07,30
AMAZONAS,APUÍ,Amazônia,2021,07,30
MINAS GERAIS,POMPÉU,Cerrado,2021,07,30
PARÁ,MARABÁ,Amazônia,2021,07,30
MINAS GERAIS,PATROCÍNIO,Cerrado,2021,07,30
MARANHÃO,JOÃO LISBOA,Cerrado,2021,07,30
MINAS GERAIS,UBERLÂNDIA,Mata Atlântica,2021,07,30
MINAS GERAIS,CURVELO,Cerrado,2021,07,30
TOCANTINS,ESPERANTINA,Amazônia,2021,07,30
MINAS GERAIS,MONJOLOS,Cerrado,2021,07,30
MARANHÃO,SÃO RAIMUNDO DO DOCA BEZERRA,Cerrado,2021,07,30
MINAS GERAIS,CORINTO,Cerrado,2021,07,30
MATO GROSSO,LUCIARA,Cerrado,2021,07,30
MINAS GERAIS,DIAMANTINA,Cerrado,2021,07,30
PARÁ,TRAIRÃO,Amazônia,2021,07,30
MINAS GERAIS,SÃO GONÇALO DO ABAETÉ,Cerrado,2021,07,30
MARANHÃO,AÇAILÂNDIA,Amazônia,2021,07,30
MARANHÃO,LAGO DA PEDRA,Cerrado,2021,07,30
MINAS GERAIS,CAMANDUCAIA,Mata Atlântica,2021,07,30
SÃO PAULO,ITAPIRA,Mata Atlântica,2021,07,30
MATO GROSSO,CANABRAVA DO NORTE,Amazônia,2021,07,30
MINAS GERAIS,JACUTINGA,Mata Atlântica,2021,07,30
MINAS GERAIS,CARMO DE MINAS,Mata Atlântica,2021,07,30
MINAS GERAIS,BUENÓPOLIS,Cerrado,2021,07,30
MINAS GERAIS,ANDRADAS,Mata Atlântica,2021,07,30
RIO DE JANEIRO,SÃO SEBASTIÃO DO ALTO,Mata Atlântica,2021,07,30
MINAS GERAIS,LAGOA GRANDE,Cerrado,2021,07,30
MINAS GERAIS,AIURUOCA,Mata Atlântica,2021,07,30
MINAS GERAIS,JOÃO PINHEIRO,Cerrado,2021,07,30
MARANHÃO,BOM JARDIM,Amazônia,2021,07,30
MARANHÃO,ITINGA DO MARANHÃO,Amazônia,2021,07,30
PARÁ,PACAJÁ,Amazônia,2021,07,30
GOIÁS,URUTAÍ,Cerrado,2021,07,30
PARÁ,ANAPU,Amazônia,2021,07,30
GOIÁS,BELA VISTA DE GOIÁS,Cerrado,2021,07,30
GOIÁS,CRISTALINA,Cerrado,2021,07,30
MINAS GERAIS,UNAÍ,Cerrado,2021,07,30
