estado,municipio,bioma,ano,mês,dia
MINAS GERAIS,MONTES CLAROS,Cerrado,2015,01,05
MATO GROSSO,ARIPUANÃ,Amazônia,2015,01,06
RORAIMA,AMAJARI,Amazônia,2015,01,06
MATO GROSSO,MARCELÂNDIA,Amazônia,2015,01,06
MATO GROSSO,CLÁUDIA,Amazônia,2015,01,06
MATO GROSSO,CARLINDA,Amazônia,2015,01,06
MATO GROSSO,GUARANTÃ DO NORTE,Amazônia,2015,01,06
MARANHÃO,LAGO VERDE,Amazônia,2015,01,07
PARÁ,PARAGOMINAS,Amazônia,2015,01,07
PARÁ,ULIANÓPOLIS,Amazônia,2015,01,07
MARANHÃO,CENTRO NOVO DO MARANHÃO,Amazônia,2015,01,07
MARANHÃO,ZÉ DOCA,Amazônia,2015,01,07
MARANHÃO,ALTO ALEGRE DO PINDARÉ,Amazônia,2015,01,07
PARÁ,RONDON DO PARÁ,Amazônia,2015,01,07
MARANHÃO,BOM JARDIM,Amazônia,2015,01,07
TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,2015,01,07
MARANHÃO,ITAPECURU MIRIM,Cerrado,2015,01,07
PARÁ,PACAJÁ,Amazônia,2015,01,01
MATO GROSSO,SAPEZAL,Cerrado,2015,01,01
MARANHÃO,BACURI,Amazônia,2015,01,07
PARÁ,PARAGOMINAS,Amazônia,2015,01,07
PARÁ,PLACAS,Amazônia,2015,01,02
RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,2015,03,11
SERGIPE,LAGARTO,Caatinga,2015,03,11
PERNAMBUCO,IPOJUCA,Mata Atlântica,2015,03,11
RIO GRANDE DO NORTE,BARAÚNA,Caatinga,2015,03,11
PARAÍBA,CAMPINA GRANDE,Caatinga,2015,03,11
BAHIA,JUCURUÇU,Mata Atlântica,2015,03,11
RORAIMA,CANTÁ,Amazônia,2015,03,11
RORAIMA,UIRAMUTÃ,Amazônia,2015,03,11
PARANÁ,LAPA,Mata Atlântica,2015,03,11
SANTA CATARINA,RIO DO CAMPO,Mata Atlântica,2015,03,11
MATO GROSSO DO SUL,NOVA ANDRADINA,Cerrado,2015,03,11
RIO GRANDE DO SUL,GENERAL CÂMARA,Pampa,2015,03,11
MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,2015,03,11
PARANÁ,SÃO TOMÉ,Mata Atlântica,2015,03,11
MATO GROSSO DO SUL,CORUMBÁ,Cerrado,2015,03,11
RORAIMA,ALTO ALEGRE,Amazônia,2015,03,11
RORAIMA,MUCAJAÍ,Amazônia,2015,03,11
MATO GROSSO,SINOP,Amazônia,2015,03,11
PARÁ,CANAÃ DOS CARAJÁS,Amazônia,2015,03,11
RORAIMA,IRACEMA,Amazônia,2015,03,11
RORAIMA,AMAJARI,Amazônia,2015,03,11
