estado,municipio,bioma,ano,mês,dia
PARÁ,PLACAS,Amazônia,2020,06,16
MARANHÃO,ITINGA DO MARANHÃO,Amazônia,2020,06,16
MATO GROSSO,PEIXOTO DE AZEVEDO,Amazônia,2020,06,16
TOCANTINS,MATEIROS,Cerrado,2020,06,16
MATO GROSSO,CONFRESA,Amazônia,2020,06,16
MATO GROSSO,SANTA CRUZ DO XINGU,Amazônia,2020,06,16
TOCANTINS,PARAÍSO DO TOCANTINS,Cerrado,2020,06,16
GOIÁS,CAIAPÔNIA,Cerrado,2020,06,16
MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2020,06,16
MATO GROSSO DO SUL,PORTO MURTINHO,Pantanal,2020,06,16
MINAS GERAIS,ARCEBURGO,Cerrado,2020,06,16
MARANHÃO,BALSAS,Cerrado,2020,06,16
PARÁ,NOVO PROGRESSO,Amazônia,2020,06,16
MARANHÃO,SAMBAÍBA,Cerrado,2020,06,16
PIAUÍ,GILBUÉS,Cerrado,2020,06,16
TOCANTINS,MONTE SANTO DO TOCANTINS,Cerrado,2020,06,16
MATO GROSSO,MATUPÁ,Amazônia,2020,06,16
MARANHÃO,ALTO PARNAÍBA,Cerrado,2020,06,16
PARÁ,BRASIL NOVO,Amazônia,2020,06,16
MATO GROSSO,SANTA CARMEM,Amazônia,2020,06,16
MATO GROSSO,SÃO JOSÉ DO RIO CLARO,Cerrado,2020,06,16
MATO GROSSO,SÃO JOSÉ DO RIO CLARO,Amazônia,2020,06,16
MATO GROSSO,ALTO ARAGUAIA,Cerrado,2020,06,16
TOCANTINS,PORTO NACIONAL,Cerrado,2020,06,16
TOCANTINS,ALMAS,Cerrado,2020,06,16
MATO GROSSO,LUCIARA,Cerrado,2020,06,16
MARANHÃO,TASSO FRAGOSO,Cerrado,2020,06,16
TOCANTINS,RECURSOLÂNDIA,Cerrado,2020,06,16
TOCANTINS,TUPIRAMA,Cerrado,2020,06,16
TOCANTINS,LIZARDA,Cerrado,2020,06,16
TOCANTINS,RIO SONO,Cerrado,2020,06,16
TOCANTINS,MIRACEMA DO TOCANTINS,Cerrado,2020,06,16
TOCANTINS,TOCANTÍNIA,Cerrado,2020,06,16
RIO GRANDE DO SUL,PIRATINI,Pampa,2020,06,16
AMAZONAS,MANICORÉ,Amazônia,2020,08,13
RONDÔNIA,MACHADINHO D'OESTE,Amazônia,2020,08,13
RONDÔNIA,SÃO MIGUEL DO GUAPORÉ,Amazônia,2020,08,13
MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2020,08,13
RONDÔNIA,MIRANTE DA SERRA,Amazônia,2020,08,13
MATO GROSSO DO SUL,PORTO MURTINHO,Pantanal,2020,06,17
MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2020,06,17
MATO GROSSO,POCONÉ,Pantanal,2020,08,13
PARÁ,ALTAMIRA,Amazônia,2020,08,13
AMAZONAS,COARI,Amazônia,2020,08,13
AMAZONAS,TEFÉ,Amazônia,2020,08,13
AMAZONAS,CANUTAMA,Amazônia,2020,08,13
PARÁ,ITAITUBA,Amazônia,2020,08,13
RONDÔNIA,PORTO VELHO,Amazônia,2020,08,13
RONDÔNIA,NOVA MAMORÉ,Amazônia,2020,08,13
RONDÔNIA,GOVERNADOR JORGE TEIXEIRA,Amazônia,2020,08,13
RONDÔNIA,MONTE NEGRO,Amazônia,2020,08,13
AMAZONAS,HUMAITÁ,Amazônia,2020,08,13
PARÁ,PLACAS,Amazônia,2020,08,13
PARÁ,RURÓPOLIS,Amazônia,2020,08,13
MATO GROSSO,MARCELÂNDIA,Amazônia,2020,08,13
MATO GROSSO,BARÃO DE MELGAÇO,Pantanal,2020,08,13
AMAZONAS,NOVO ARIPUANÃ,Amazônia,2020,08,13
ACRE,RODRIGUES ALVES,Amazônia,2020,08,13
PARÁ,NOVO PROGRESSO,Amazônia,2020,08,13
PARÁ,CONCEIÇÃO DO ARAGUAIA,Amazônia,2020,08,13
TOCANTINS,COUTO MAGALHÃES,Cerrado,2020,08,13
TOCANTINS,LAGOA DA CONFUSÃO,Cerrado,2020,08,13
TOCANTINS,PIUM,Cerrado,2020,08,13
TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,2020,08,13
TOCANTINS,LAGOA DA CONFUSÃO,Cerrado,2020,08,13
GOIÁS,ARAGUAPAZ,Cerrado,2020,08,13
PARÁ,OURILÂNDIA DO NORTE,Amazônia,2020,08,13
PARÁ,SÃO FÉLIX DO XINGU,Amazônia,2020,08,13
MATO GROSSO,VILA RICA,Amazônia,2020,08,13
MATO GROSSO,SANTA TEREZINHA,Amazônia,2020,08,13
MATO GROSSO,NOVA NAZARÉ,Cerrado,2020,08,13
MATO GROSSO,SÃO JOSÉ DO XINGU,Amazônia,2020,08,13
MATO GROSSO,QUERÊNCIA,Amazônia,2020,08,13
MATO GROSSO,FELIZ NATAL,Amazônia,2020,08,13
MATO GROSSO,GAÚCHA DO NORTE,Amazônia,2020,08,13
MATO GROSSO,CAMPINÁPOLIS,Cerrado,2020,08,13
MATO GROSSO,SANTO ANTÔNIO DO LESTE,Cerrado,2020,08,13
MATO GROSSO,PARANATINGA,Cerrado,2020,08,13
MATO GROSSO,GENERAL CARNEIRO,Cerrado,2020,08,13
MATO GROSSO DO SUL,PONTA PORÃ,Cerrado,2020,08,13
MATO GROSSO DO SUL,ANTÔNIO JOÃO,Cerrado,2020,08,13
AMAPÁ,PORTO GRANDE,Amazônia,2020,08,13
AMAZONAS,LÁBREA,Amazônia,2020,08,13
AMAZONAS,BOCA DO ACRE,Amazônia,2020,08,13
ACRE,BUJARI,Amazônia,2020,08,13
ACRE,SENA MADUREIRA,Amazônia,2020,08,13
ACRE,XAPURI,Amazônia,2020,08,13
MINAS GERAIS,CAMPO DO MEIO,Mata Atlântica,2020,08,13
SÃO PAULO,CABREÚVA,Mata Atlântica,2020,08,13
SÃO PAULO,JABOTICABAL,Cerrado,2020,08,13
SÃO PAULO,PORTO FELIZ,Mata Atlântica,2020,08,13
SÃO PAULO,CORDEIRÓPOLIS,Mata Atlântica,2020,08,13
TOCANTINS,NATIVIDADE,Cerrado,2020,08,13
MINAS GERAIS,UBERLÂNDIA,Cerrado,2020,08,13
MINAS GERAIS,CENTRALINA,Cerrado,2020,08,13
SÃO PAULO,GUAÍRA,Cerrado,2020,08,13
SÃO PAULO,COLÔMBIA,Cerrado,2020,08,13
MINAS GERAIS,FRUTAL,Cerrado,2020,08,13
SÃO PAULO,CATANDUVA,Mata Atlântica,2020,08,13
TOCANTINS,RIO DOS BOIS,Cerrado,2020,08,13
TOCANTINS,BOM JESUS DO TOCANTINS,Cerrado,2020,08,13
TOCANTINS,ALIANÇA DO TOCANTINS,Cerrado,2020,08,13
TOCANTINS,IPUEIRAS,Cerrado,2020,08,13
TOCANTINS,JAÚ DO TOCANTINS,Cerrado,2020,08,13
GOIÁS,ITABERAÍ,Cerrado,2020,08,13
GOIÁS,VILA PROPÍCIO,Cerrado,2020,08,13
GOIÁS,SANTO ANTÔNIO DA BARRA,Cerrado,2020,08,13
GOIÁS,HIDROLÂNDIA,Cerrado,2020,08,13
GOIÁS,VARJÃO,Cerrado,2020,08,13
SÃO PAULO,GENERAL SALGADO,Mata Atlântica,2020,08,13
SÃO PAULO,NOVA CASTILHO,Mata Atlântica,2020,08,13
SÃO PAULO,SANTA RITA D'OESTE,Mata Atlântica,2020,08,13
MATO GROSSO DO SUL,APARECIDA DO TABOADO,Mata Atlântica,2020,08,13
SÃO PAULO,BIRIGUI,Mata Atlântica,2020,08,13
SÃO PAULO,SANTO ANTÔNIO DO ARACANGUÁ,Mata Atlântica,2020,08,13
PARÁ,SANTA MARIA DAS BARREIRAS,Amazônia,2020,08,13
MATO GROSSO,NOVO MUNDO,Amazônia,2020,08,13
MATO GROSSO,NOVA CANAÃ DO NORTE,Amazônia,2020,08,13
MATO GROSSO,JUARA,Amazônia,2020,08,13
MATO GROSSO,PORTO DOS GAÚCHOS,Amazônia,2020,08,13
MATO GROSSO,TABAPORÃ,Amazônia,2020,08,13
MATO GROSSO,NOVA MARINGÁ,Amazônia,2020,08,13
MATO GROSSO,TAPURAH,Amazônia,2020,08,13
MATO GROSSO,NOVA MARINGÁ,Amazônia,2020,08,13
MATO GROSSO,NORTELÂNDIA,Amazônia,2020,08,13
MATO GROSSO,NORTELÂNDIA,Cerrado,2020,08,13
PARÁ,ORIXIMINÁ,Amazônia,2020,08,13
AMAZONAS,PARINTINS,Amazônia,2020,08,13
PARÁ,TRAIRÃO,Amazônia,2020,08,13
PARÁ,AVEIRO,Amazônia,2020,08,13
PARÁ,JACAREACANGA,Amazônia,2020,08,13
AMAZONAS,APUÍ,Amazônia,2020,08,13
MATO GROSSO,APIACÁS,Amazônia,2020,08,13
MATO GROSSO,NOVA MONTE VERDE,Amazônia,2020,08,13
MATO GROSSO,NOVA BANDEIRANTES,Amazônia,2020,08,13
MATO GROSSO,CLÁUDIA,Amazônia,2020,08,13
MATO GROSSO,UNIÃO DO SUL,Amazônia,2020,08,13
MATO GROSSO DO SUL,PORTO MURTINHO,Pantanal,2020,08,13
RIO GRANDE DO SUL,URUGUAIANA,Pampa,2020,08,13
MINAS GERAIS,CARMO DO PARANAÍBA,Cerrado,2020,08,13
MATO GROSSO DO SUL,PORTO MURTINHO,Cerrado,2020,08,13
GOIÁS,PIRANHAS,Cerrado,2020,08,13
GOIÁS,MINEIROS,Cerrado,2020,08,13
MATO GROSSO DO SUL,PEDRO GOMES,Cerrado,2020,08,13
MINAS GERAIS,PASSOS,Cerrado,2020,08,13
MINAS GERAIS,SÃO JOÃO BATISTA DO GLÓRIA,Cerrado,2020,08,13
SÃO PAULO,SÃO JOSÉ DA BELA VISTA,Cerrado,2020,08,13
SÃO PAULO,SANTA LÚCIA,Cerrado,2020,08,13
AMAZONAS,ALVARÃES,Amazônia,2020,08,13
AMAZONAS,UARINI,Amazônia,2020,08,13
MATO GROSSO,SANTO ANTÔNIO DO LEVERGER,Pantanal,2020,08,13
